,Sentence
0,나는 놀라운 아이들과 손주들이 있습니다.
1,나는 내 옷을 꿰맬 수 있다.
2,나는 암에 걸렸지만 지금은 사라졌습니다.
3,나는 은퇴하고 멋진 삶을 살고 있습니다.
4,나는 스마트폰이 없다.
5,아버지는 방문 판매원이었습니다.
6,나는 세 마리의 개가 있습니다.
7,나는 공개적인 폴리아모러스 관계에 있습니다.
8,나는 또한 개 산책 사업을하고 있습니다.
9,나는 금메달리스트 올림픽 선수입니다.
10,나는 이탈리아 음식과 마늘 빵을 좋아합니다.
11,내가 가장 좋아하는 색은 노란색입니다.
12,체조는 내가 가장 좋아하는 스포츠입니다.
13,나는 하루에 네 시간 운동한다.
14,나는 세계를 장악하는 것에 대한 환상을 가지고 있습니다.
15,저는 56세 여성입니다.
16,나는 결코 방문하지 않는 두 명의 성인 자녀가 있습니다.
17,나는 화가였지만 지금은 가사도우미입니다.
18,저는 40세입니다.
19,저는 자동차 판매원으로 일하고 있습니다.
20,내 아내는 내 모든 돈을 쓴다.
21,나는 내 직업이 싫어.
22,이혼할 생각입니다.
23,나는 가난하게 자랐다.
24,저는 은퇴한 체육 교사입니다.
25,치즈버거는 내가 가장 좋아하는 음식이다.
26,나는 급식소에서 자원 봉사합니다.
27,나는 전쟁 다큐멘터리 보는 것을 좋아한다.
28,나는 우리 동네 슈퍼마켓에서 일한다.
29,내가 가장 좋아하는 음식은 블랙 올리브가 든 피자입니다.
30,나는 spook이라는 고양이가 있습니다.
31,나는 오하이오를 벗어난 적이 없습니다.
32,나는 노숙자 보호소에서 자원봉사를 합니다.
33,아버지는 바이올린을 전문적으로 연주하셨습니다.
34,저는 옆에서 피아노 선생님입니다.
35,나는 여러 악기를 연주합니다.
36,나는 도시의 새로운 부분을 탐험하는 것을 즐깁니다.
37,저의 이름은 조지입니다.
38,나는 꿀벌 농부입니다.
39,내가 가장 좋아하는 음식은 파파야입니다.
40,나는 가까운 가족이 없다.
41,나는 이탈리아의 슈퍼 모델과 결혼했다.
42,내 애완 동물 이름은 찰리입니다.
43,아티스트를 위한 음악을 제작합니다.
44,내가 가장 좋아하는 음식은 피자입니다.
45,저는 2015 혼다 시빅을 몰고 있습니다.
46,나는 갈색 곱슬 머리를 가지고 있습니다.
47,나는 2년 안에 고등학교를 졸업할 것이다.
48,나는 말 타는 것을 좋아합니다.
49,내 침실은 보라색과 라임 그린입니다.
50,내가 가장 좋아하는 종류의 영화는 다큐멘터리입니다.
51,저는 첫 아이를 임신했습니다.
52,나는 펜실베니아에서 남편과 함께 살고 있습니다.
53,나는 매주 책을 읽습니다.
54,나는 햄버거와 감자 튀김을 먹는 것을 좋아합니다.
55,나는 산책하는 것을 좋아합니다.
56,나는 소다를 마시지 않습니다.
57,나는 남자 친구가 있습니다.
58,나는 집에 산다.
59,나는 영어 스페인어와 프랑스어에 능통합니다.
60,저는 초등학교 교사입니다.
61,내 남자 친구와 나는 다음 주에 함께 아파트로 이사 할 것입니다.
62,나는 사진에 관심이 있고 사진을 찍는 것을 좋아합니다.
63,나는 트랙터를 운전할 수 있습니다.
64,나는 클래식 음악을 듣는 것을 즐긴다.
65,제가 가장 좋아하는 색깔은 빨간색입니다.
66,나는 기독교인입니다.
67,내 여동생은 폴댄서다.
68,나는 밭을 가꾸는 것을 돕습니다.
69,아버지는 농부입니다.
70,나는 일하면서 록 음악을 듣는 것을 좋아합니다.
71,나는 세 마리의 아라비아 말을 가지고 있습니다.
72,나는 친구가 많지 않습니다.
73,난 학교가 싫어.
74,저는 12살 소녀입니다.
75,나는 포박스를 하는 것을 좋아합니다.
76,저는 40세입니다.
77,나는 내 직업이 싫어.
78,내 아내는 내 모든 돈을 쓴다.
79,저는 자동차 판매원으로 일하고 있습니다.
80,이혼할 생각입니다.
81,아버지는 방문 판매원이었습니다.
82,나는 공개적인 폴리아모러스 관계에 있습니다.
83,나는 세 마리의 개가 있습니다.
84,나는 올림픽을 보는 것을 좋아합니다.
85,저는 3개월 전에 아빠로 새 일을 시작했습니다.
86,저는 첫 아이를 임신했습니다.
87,나는 매주 책을 읽습니다.
88,나는 펜실베니아에서 남편과 함께 살고 있습니다.
89,내가 가장 좋아하는 종류의 영화는 다큐멘터리입니다.
90,나는 독신이고 두 마리의 개와 함께.
91,나는 술을 마시지 않습니다.
92,나는 체스를 좋아한다.
93,저는 30대입니다.
94,나는 개 민첩성 수업에서 경쟁합니다.
95,나는 화학을 위해 학교에 다녔지만 서점에서 일했습니다.
96,나는 패션에 관심이 없다.
97,나는 주황색을 싫어한다.
98,나는 주말에 춤을 춥니다.
99,나는 엄청난 커피 애호가입니다.
100,아버지는 건설 노동자였습니다.
101,나는 핑크색을 싫어한다.
102,나는 술을 마시지 않습니다.
103,취미로 산악자전거를 즐깁니다.
104,나는 불교도입니다.
105,나는 평생 동안 영성을 추구하기 위해 직장을 그만두었습니다.
106,나는 3개월 동안 말을 하지 않았다.
107,나는 명상을 좋아한다.
108,나는 알래스카에 산다.
109,유기농 식품만 구매합니다.
110,"나는 소셜 미디어, 특히 트위터를 좋아합니다."
111,나는 인터넷 검색에 많은 시간을 보낸다.
112,나는 페미니스트입니다.
113,나는 1992년 올림픽에서 금메달을 땄다.
114,나는 1000개가 넘는 모자 컬렉션을 가지고 있습니다.
115,내가 가장 좋아하는 계절은 겨울이다.
116,나는 바닐라 아이스크림에 약하다.
117,나는 고양이를 사랑하고 고양이 두 마리가 있습니다.
118,나는 말 농장에서 자랐다.
119,우리 가족은 여러 세대에 걸쳐 말을 키웠습니다.
120,저는 변호사가 되고 싶습니다.
