,Sentence
0,我有很棒的孩子和孙子。
1,我可以自己缝衣服。
2,我得了癌症，但现在已经好了。
3,我退休了，过着美好的生活。
4,我没有智能手机。
5,我父亲是上门推销员。
6,我养了三只狗。
7,我处于一种开放的多角恋关系中。
8,我也有遛狗的生意。
9,我是奥运金牌得主。
10,我喜欢意大利食物和大蒜面包。
11,我最喜欢的颜色是黄色。
12,体操是我最喜欢的运动。
13,我每天锻炼四个小时。
14,我幻想着接管世界。
15,我是一个 56 岁的女人。
16,我有两个成年的孩子，他们从来没有来过。
17,我曾经是一名画家，但现在我是一名管家。
18,我今年 40 岁。
19,我是一名汽车推销员。
20,我老婆花光了我所有的钱。
21,我讨厌我的工作。
22,我正打算离婚。
23,我在成长过程中很贫穷。
24,我是退休的体育老师。
25,芝士汉堡是我最喜欢的食物。
26,我在汤厨房做志愿者。
27,我喜欢看战争纪录片。
28,我在我们当地的超市工作。
29,我最喜欢的食物是黑橄榄披萨。
30,我有一只名叫幽灵的猫。
31,我从未离开过俄亥俄州。
32,我在无家可归者收容所做志愿者。
33,我父亲专业拉小提琴。
34,我是一边的钢琴老师。
35,我会演奏几种乐器。
36,我喜欢探索这座城市的新地方。
37,我的名字是乔治。
38,我是养蜂人。
39,我最喜欢的食物是木瓜。
40,我有零个家庭，我亲近。
41,我嫁给了一个来自意大利的超级模特。
42,我的宠物的名字是查理。
43,我为艺术家制作音乐。
44,我最喜欢的食物是披萨。
45,我开的是 2015 款本田思域。
46,我有一头棕色卷发。
47,我将在两年内高中毕业。
48,我喜欢骑马。
49,我的卧室是紫色和柠檬绿色。
50,我最喜欢的电影类型是纪录片。
51,我怀上了我的第一个孩子。
52,我和我丈夫住在宾夕法尼亚州。
53,我每周读一本书。
54,我喜欢吃汉堡包和炸薯条。
55,我喜欢散步。
56,我不喝苏打水。
57,我有一个男朋友。
58,我住在一个房子里。
59,我精通英语、西班牙语和法语。
60,我是一名小学老师。
61,我和我男朋友下周要一起搬进公寓。
62,我对摄影感兴趣，喜欢拍照。
63,我会开拖拉机。
64,我喜欢听古典音乐。
65,我最喜欢的颜色是红色。
66,我是基督徒。
67,我姐姐是钢管舞者。
68,我帮忙照料田地。
69,我父亲是农民。
70,我喜欢一边工作一边听摇滚乐。
71,我有三匹阿拉伯马。
72,我没有很多朋友。
73,我讨厌上学。
74,我是一个 12 岁的女孩。
75,我喜欢玩 pobox。
76,我今年 40 岁。
77,我讨厌我的工作。
78,我老婆花光了我所有的钱。
79,我是一名汽车推销员。
80,我正打算离婚。
81,我父亲是上门推销员。
82,我处于开放的多角恋关系中。
83,我有三只狗。
84,我喜欢看奥运会。
85,三个月前，我开始了一份新工作，作为一名家长。
86,我怀上了我的第一个孩子。
87,我每周读一本书。
88,我和我丈夫住在宾夕法尼亚州。
89,我最喜欢的电影类型是纪录片。
90,我单身，有两只狗。
91,我不喝酒。
92,我喜欢下棋。
93,我三十多岁了。
94,我参加狗敏捷课程。
95,我去学校学习化学，但在书店工作。
96,我不在乎时尚。
97,我讨厌橙色。
98,我在周末跳舞。
99,我是一个巨大的咖啡爱好者。
100,我父亲是一名建筑工人。
101,我讨厌粉红色。
102,我不喝酒。
103,我喜欢将山地自行车作为一种爱好。
104,我是佛教徒。
105,我辞掉工作全职追求我的灵性。
106,我已经三个月没说话了。
107,我喜欢冥想。
108,我住在阿拉斯加。
109,我只买有机食品。
110,我喜欢社交媒体，尤其是推特。
111,我花了很多时间浏览互联网。
112,我是女权主义者。
113,我在 1992 年的奥运会上获得了金牌。
114,我有超过 1000 顶帽子的帽子收藏。
115,我最喜欢的季节是冬天。
116,我不喜欢香草冰淇淋。
117,我喜欢猫，有两只猫。
118,我是在马场长大的。
119,我家养了好几代马。
120,我想成为一名律师。
121,我来自一个小镇。
122,我帮忙照料田地。
123,我喜欢骑马。
124,我喜欢一边工作一边听摇滚乐。
125,我父亲是农民。
126,我喜欢做西班牙海鲜饭。
127,我有鱼和薯条的弱点。
128,我每年访问欧洲两次。
129,我是大学的艺术专业。
130,我是克里斯托弗·哥伦布的后裔。
131,我讨厌粉红色。
132,我父亲是一名建筑工人。
133,我喜欢将山地自行车作为一种爱好。
134,我不喝酒。
135,我是一个巨大的咖啡爱好者。
136,我在家工作。
137,我喜欢把钱花在汽车上。
138,我从未有过稳定的关系。
139,我在业余时间看太多电视。
140,我大部分时间去健身房只是为了社交。
141,我最喜欢唱的音乐类型是民间音乐。
142,我是一名音乐家，希望有一天能成为大牌。
143,我弹钢琴和吉他并唱歌。
144,我还担任保管人以帮助支付账单。
145,我还担任保管人以帮助支付账单。
146,我弹钢琴和吉他并唱歌。
147,我最喜欢唱的音乐类型是民间音乐。
148,我是一名音乐家，希望有一天能成为大牌。
149,我养了三只狗。
150,我父亲是上门推销员。
151,我喜欢看奥运会。
152,我处于开放的多角恋关系中。
153,我也有遛狗的生意。
154,我喜欢和人在一起。
155,我喜欢每周锻炼一次。
156,我在无家可归者收容所做志愿者。
157,在我的业余时间我做志愿者工作。
158,我是职业摔跤手。
159,我是一个 12 岁的女孩。
160,我喜欢玩 pobox。
161,我的蓝眼睛和红头发垂到腰际。
162,我讨厌上学。
163,我没有很多朋友。
164,我住在加利福尼亚，但去年唱片艺术家市场已经死了。
165,我是一名录音工程师，拥有自己的录音室。
166,怎么了我是一个 46 岁的单身爸爸 46 个孩子。
167,我的前任被骗了，让我去找律师。
168,我更喜欢待在里面。
169,我只是想和我的朋友们玩得开心。
170,我的工作花了我在汉堡王的一份兼职工作。
171,我 19 岁，我迫不及待地想搬出 19 岁我父母的家。
172,他们一直在我的背上。
173,我不喝酒或吸毒或任何事情。
174,我开的是 2015 款本田思域。
175,我最喜欢的食物是披萨。
176,我听说唱音乐。
177,我为艺术家制作音乐。
178,我的宠物的名字是查理。
179,我妈妈很传统，而我更喜欢自由奔放。
180,我和我的家人来自印度。
181,我最喜欢的音乐类型是死亡金属。
182,我是当地游泳池的游泳教练。
183,我父亲专业拉小提琴。
184,我是一边的钢琴老师。
185,我喜欢探索这座城市的新地方。
186,我在无家可归者收容所做志愿者。
187,我花了很多时间浏览互联网。
188,我是女权主义者。
189,我只买有机食品。
190,我的屋顶上有太阳能电池板。
191,我最喜欢的活动是攀岩。
192,我是一名机械工程师。
193,我喜欢在春天去远足。
194,我住在科罗拉多州。
195,假期让我沮丧。
196,我有彩虹头发。
197,我的年龄太老了。
198,我是一名动物活动家。
199,我花时间和我的猫一起观鸟。
200,我喜欢烹饪，但我也喜欢钓鱼。
201,我也喜欢漫画书。
202,嘿，我的名字是拉里，我是一名厨师。
203,如果我不在厨房做饭，那么我肯定是在水上。
204,我没有高中毕业。
205,我最喜欢的食物是沙威玛。
206,我在军队里。
207,我的祖父曾在世界大战中服役。
208,我最喜欢的乐队是 rascal flats。
209,我们在国家公园度过了夏天。
210,我在这个行业长大。
211,我是乡村音乐歌手。
212,我有零个家庭，我亲近。
213,我的名字是乔治。
214,我最喜欢的食物是木瓜。
215,我是养蜂人。
216,我嫁给了一个来自意大利的超级模特。
217,我的名字是乔治。
218,我有零个家庭，我亲近。
219,我最喜欢的食物是木瓜。
220,我嫁给了一个来自意大利的超级模特。
221,我是养蜂人。
222,我喜欢巧克力棒。
223,我拉小提琴和吉他。
224,我说中文。
225,我父亲是一名电工。
226,我打乒乓球。
227,我喜欢唱电影《冰雪奇缘》中的歌曲。
228,我和我的朋友在操场上玩。
229,米老鼠是我最喜欢的角色。
230,我喜欢每年都去迪斯尼乐园。
231,我在三年级。
232,我喜欢吃汉堡包和炸薯条。
233,我喜欢散步。
234,我不喝苏打水。
235,我有一个男朋友。
236,我住在一个房子里。
237,我在汉堡王有一份兼职工作。
238,我 19 岁，我迫不及待地想搬出 19 岁我父母的家。
239,我不喝酒或吸毒或任何事情。
240,他们总是支持我。
241,我只是想和我的朋友们玩得开心。
