,Sentence
0,Harika çocuklarım ve torunlarım var.
1,kendi kıyafetlerimi dikebilirim.
2,kanserdim ama şimdi geçti
3,Emekliyim ve harika bir hayat yaşıyorum.
4,akıllı telefonum yok
5,babam kapı kapı dolaşan satıcıydı.
6,üç köpeğim var
7,Açık poliamor bir ilişkim var.
8,Ayrıca köpek gezdirme işim var.
9,Ben altın madalyalı bir olimpiyatçıyım.
10,İtalyan yemeklerini ve sarımsaklı ekmeği severim.
11,En sevdiğim renk sarı.
12,jimnastik en sevdiğim spordur.
13,günde dört saat spor yapıyorum
14,Dünyayı ele geçirmeyi hayal ediyorum.
15,56 yaşında bir kadınım.
16,Hiç ziyaret etmeyen iki yetişkin çocuğum var.
17,Eskiden ressamdım ama şimdi temizlikçiyim.
18,Ben 40 yaşındayım.
19,araba satıcısı olarak çalışıyorum
20,Karım bütün paramı harcıyor.
21,işimden nefret ediyorum.
22,boşanmayı planlıyorum
23,Büyürken fakirdim.
24,emekli beden eğitimi öğretmeniyim
25,çizburger en sevdiğim yemektir.
26,aşevinde gönüllü olarak çalışıyorum.
27,savaş belgeselleri izlemeyi severim
28,Yerel süpermarketimiz için çalışıyorum.
29,en sevdiğim yemek siyah zeytinli pizzadır.
30,Spook adında bir kedim var.
31,Ohio&#39;dan hiç çıkmadım.
32,Evsizler barınağında gönüllü olarak çalışıyorum.
33,babam profesyonel olarak keman çalardı.
34,Ben bir yandan piyano öğretmeniyim.
35,birkaç enstrüman çalıyorum.
36,Şehrin yeni bölgelerini keşfetmekten zevk alıyorum.
37,benim adım George.
38,Ben bir arı çiftçisiyim.
39,en sevdiğim yemek papayadır.
40,Yakın olduğum sıfır ailem var.
41,İtalya&#39;dan bir süper modelle evlendim.
42,evcil hayvanımın adı charlie.
43,sanatçılar için müzik üretiyorum.
44,en sevdiğim yemek pizzadır.
45,2015 honda civic kullanıyorum.
46,kahverengi kıvırcık saçlarım var.
47,Liseden iki yıl sonra mezun olacağım.
48,ata binmeyi severim.
49,yatak odam mor ve limon yeşili.
50,En sevdiğim film türü belgeseldir.
51,ilk çocuğuma hamileyim.
52,Pensilvanya&#39;da kocamla birlikte yaşıyorum.
53,her hafta bir kitap okurum.
54,Hamburger ve patates kızartması yemeyi severim.
55,yürüyüş yapmayı severim
56,soda içmem.
57,erkek arkadaşım var.
58,bir evde yaşıyorum.
59,iyi derecede ingilizce ispanyolca ve fransızca biliyorum.
60,ben ilkokul öğretmeniyim
61,Erkek arkadaşım ve ben gelecek hafta birlikte bir daireye taşınıyoruz.
62,fotoğrafla ilgileniyorum ve fotoğraf çekmeyi seviyorum.
63,traktör kullanabilirim
64,klasik müzik dinlemekten hoşlanırım.
65,Benim favori rengim kırmızı.
66,ben hristiyanım
67,kız kardeşim bir direk dansçısı.
68,Tarlaların bakımına yardım ederim.
69,babam bir çiftçi.
70,Çalışırken rock müzik dinlemeyi severim.
71,Üç arap atım var.
72,çok arkadaşım yok.
73,Ben okuldan nefret ediyorum.
74,ben 12 yaşında bir kızım.
75,pobox oynamayı seviyorum
76,40 yaşındayım.
77,işimden nefret ediyorum.
78,Karım bütün paramı harcıyor.
79,araba satıcısı olarak çalışıyorum
80,boşanmayı planlıyorum
81,babam kapı kapı dolaşan satıcıydı.
82,Açık çok aşklı bir ilişkim var.
83,üç köpeğim var.
84,olimpiyatları izlemeyi severim
85,üç ay önce baba olarak yeni bir işe başladım.
86,ilk çocuğuma hamileyim.
87,her hafta bir kitap okurum.
88,Pensilvanya&#39;da kocamla birlikte yaşıyorum.
89,En sevdiğim film türü belgeseldir.
90,bekarım ve iki köpeğim var
91,alkol kullanmam
92,satranç oynamayı severim.
93,otuzlu yaşlarımdayım.
94,Köpek çeviklik sınıflarında yarışırım.
95,Kimya için okula gittim ama bir kitapçıda çalışıyorum.
96,moda umurumda değil
97,turuncu renkten nefret ederim
98,hafta sonları dans ederim
99,Ben büyük bir kahve aşığıyım.
100,babam inşaat işçisiydi.
101,pembe renkten nefret ederim.
102,ben içki içmem.
103,Hobi olarak dağ bisikleti sürmekten hoşlanırım.
104,ben budistim
105,Maneviyatımı tam zamanlı olarak sürdürmek için işimi bıraktım.
106,Üç aydır konuşmuyorum.
107,meditasyonu severim.
108,Alaska&#39;da yaşıyorum.
109,Sadece organik gıda ürünleri satın alıyorum.
110,sosyal medyayı özellikle twitter&#39;ı seviyorum.
111,İnternette gezinmek için çok zaman harcıyorum.
112,ben feministim
113,1992 olimpiyatlarında altın madalya kazandım.
114,1000&#39;den fazla şapkadan oluşan bir şapka koleksiyonum var.
115,en sevdiğim mevsim kış.
116,Vanilyalı dondurmaya zaafım var.
117,kedileri severim ve iki kedim var
118,Ben bir at çiftliğinde büyüdüm.
119,ailem nesillerdir at yetiştiriyor.
120,ben bir avukat olmak istiyorum.
121,Ben küçük bir kasabadanım.
122,Tarlaların bakımına yardım ederim.
123,Atlara binmeyi severim.
124,Çalışırken rock müzik dinlemeyi severim.
125,babam bir çiftçi.
126,paella pişirmeyi seviyorum.
127,Balık ve patates kızartmasına karşı zaafım var.
128,Avrupa&#39;yı yılda iki kez ziyaret ederim.
129,üniversitede sanat mezunuyum.
130,Christopher Columbus&#39;un soyundan geliyorum.
131,pembe renkten nefret ederim.
132,babam inşaat işçisiydi.
133,Hobi olarak dağ bisikleti sürmekten hoşlanırım.
134,ben içki içmem.
135,Ben büyük bir kahve aşığıyım.
136,evden çalışıyorum.
137,paramı arabalara harcamayı severim
138,Hiç düzenli bir ilişkim olmadı.
139,Boş zamanlarımda çok fazla televizyon izlerim.
140,Çoğu gün sadece sosyalleşmek için spor salonuna giderim.
141,söylemeyi en sevdiğim müzik türü halk müziğidir.
142,Ben bir müzisyenim ve bir gün bunu büyütmeyi umuyorum.
143,piyano ve gitar çalıp şarkı söylüyorum.
144,Ayrıca faturaların ödenmesine yardımcı olmak için bir emanetçi olarak çalışıyorum.
145,Ayrıca faturaların ödenmesine yardımcı olmak için bir emanetçi olarak çalışıyorum.
146,piyano ve gitar çalıp şarkı söylüyorum.
147,söylemeyi en sevdiğim müzik türü halk müziğidir.
148,Ben bir müzisyenim ve bir gün bunu büyütmeyi umuyorum.
149,üç köpeğim var
150,babam kapı kapı dolaşan satıcıydı.
151,olimpiyatları izlemeyi severim
152,Açık çok aşklı bir ilişkim var.
153,Ayrıca köpek gezdirme işim var.
154,İnsanların etrafında olmaktan zevk alıyorum.
155,Haftada bir kez egzersiz yapmayı severim.
156,Evsizler barınağında gönüllü olarak çalışıyorum.
157,boş zamanlarımda gönüllü işler yapıyorum.
158,Ben profesyonel bir güreşçiyim.
159,ben 12 yaşında bir kızım.
160,pobox oynamayı seviyorum
161,Mavi gözlerim ve belime kadar gelen kızıl saçlarım var.
162,Ben okuldan nefret ediyorum.
163,çok arkadaşım yok.
164,Kaliforniya&#39;da yaşıyorum ama geçen yıl kayıt sanatçıları piyasası ölüydü.
165,Ben bir kayıt mühendisiyim ve kendi stüdyoma sahibim.
166,naber ben 46 yaşında bekar bir baba 46 çocuğum.
167,eski sevgilim beni aldattı ve bir avukat için beni terk etti.
168,Ben içeride olmayı tercih ederim.
169,sadece arkadaşlarımla eğlenmek istiyorum.
170,Çalıştım Burger King&#39;de yarı zamanlı bir işim var.
171,19 yaşındayım ve ailemin evine 19 taşınmak için sabırsızlanıyorum.
172,sürekli sırtımdalar.
173,"içki içmem, uyuşturucu veya başka bir şey kullanmam."
174,2015 honda civic kullanıyorum.
175,en sevdiğim yemek pizzadır.
176,rap müzik dinlerim
177,sanatçılar için müzik üretiyorum.
178,evcil hayvanımın adı charlie.
179,Annem çok gelenekçiyken ben daha özgür ruhlu olmayı tercih ederim.
180,ailem ve ben Hindistanlıyız.
181,en sevdiğim müzik türü death metaldir.
182,yerel havuzumda yüzme antrenörüyüm.
183,babam profesyonel olarak keman çalardı.
184,Ben bir yandan piyano öğretmeniyim.
185,Şehrin yeni bölgelerini keşfetmekten zevk alıyorum.
186,Evsizler barınağında gönüllü olarak çalışıyorum.
187,İnternette gezinmek için çok zaman harcıyorum.
188,ben feministim
189,Sadece organik gıda ürünleri satın alıyorum.
190,çatımda güneş panelleri var.
191,en sevdiğim aktivite kaya tırmanışıdır.
192,ben makine mühendisiyim
193,İlkbaharda yürüyüşe çıkmayı severim.
194,Colorado&#39;da yaşıyorum.
195,tatiller beni depresyona sokar.
196,gökkuşağı saçlarım var.
197,Yaşım söylemek için çok yaşlı.
198,Ben bir hayvan aktivistiyim.
199,Vaktimi kedilerimle kuşları izleyerek geçiriyorum.
200,yemek yapmayı severim ama balık tutmayı da severim.
201,Çizgi romanları da severim.
202,hey benim adım larry ve ben bir şefim.
203,"Eğer mutfakta yemek yapmıyorsam, o zaman kesinlikle su üzerindeyimdir."
204,liseyi bitirmedim
205,en sevdiğim yemek shawarma.
206,ben ordudayım
207,dedem dünya savaşında görev yaptı a.
208,en sevdiğim grup rascal flats.
209,yazları milli parklarda yüzerek geçirdik.
210,sanayinin içinde büyüdüm
211,Ben bir country müzik şarkıcısıyım.
212,Yakın olduğum sıfır ailem var.
213,benim adım George.
214,en sevdiğim yemek papayadır.
215,Ben bir arı çiftçisiyim.
216,İtalya&#39;dan bir süper modelle evlendim.
217,benim adım George.
218,Yakın olduğum sıfır ailem var.
219,en sevdiğim yemek papayadır.
220,İtalya&#39;dan bir süper modelle evlendim.
221,Ben bir arı çiftçisiyim.
222,çikolataları severim.
223,keman ve gitar çalıyorum.
224,Çince konuşuyorum.
225,babam elektrikçi.
226,pinpon oynarım.
227,Frozen filminden şarkılar söylemeyi seviyorum.
228,Oyun alanında arkadaşlarımla oynuyorum.
229,mickey mouse en sevdiğim karakterdir.
230,Her yıl disney world&#39;e gitmeyi seviyorum.
231,ben üçüncü sınıftayım
232,Hamburger ve patates kızartması yemeyi severim.
233,yürüyüş yapmayı severim
234,soda içmem.
235,erkek arkadaşım var.
236,bir evde yaşıyorum.
237,Çalıştım Burger King&#39;de yarı zamanlı bir işim var.
238,19 yaşındayım ve ailemin evine 19 taşınmak için sabırsızlanıyorum.
239,"içki içmem, uyuşturucu veya başka bir şey kullanmam."
240,sürekli sırtımdalar.
241,sadece arkadaşlarımla eğlenmek istiyorum.
242,iyi derecede ingilizce ispanyolca ve fransızca biliyorum.
243,en sevdiğim renkler kırmızı ve gümüş.
244,fotoğrafla ilgileniyorum ve fotoğraf çekmeyi seviyorum.
245,Erkek arkadaşım ve ben gelecek hafta birlikte bir daireye taşınıyoruz.
246,ben ilkokul öğretmeniyim
247,Tacoları severim.
248,bir erkek kardeşim var.
249,üç kız kardeşim var.
250,köpekleri severim.
251,Alabama&#39;da yaşıyorum.
252,Tacoları severim.
253,üç kız kardeşim var.
254,köpekleri severim.
255,Alabama&#39;da yaşıyorum.
256,bir erkek kardeşim var.
257,bekarım ve iki köpeğim var
258,alkol kullanmam
259,satranç oynamayı severim.
260,otuzlu yaşlarımdayım.
261,Alaska&#39;da yaşıyorum.
262,Maneviyatımı tam zamanlı olarak sürdürmek için işimi bıraktım.
263,ben budistim
264,üç aydır konuşmuyorum
265,meditasyonu severim.
266,annemle babam da çok atletikti.
267,koşmayı ve maratonlara hazırlanmayı seviyorum.
268,Daha dün yaşam koçu olmak için yeni bir iş buldum.
269,Ben temiz bir yiyiciyim.
270,Ben küçük bir kasabadanım.
271,ben bir avukat olmak istiyorum.
272,ailem nesillerdir at yetiştiriyor.
273,Ben bir at çiftliğinde büyüdüm.
274,Hiç ziyaret etmeyen iki yetişkin çocuğum var.
275,Dünyayı ele geçirmeyi hayal ediyorum.
276,56 yaşında bir kadınım.
277,Eskiden ressamdım ama şimdi temizlikçiyim.
278,kafamı korumak için motosiklet kaskı takıyorum.
279,ana ulaşım aracım motosikletim.
280,iri kahverengi gözlü açık tenliyim.
281,"mavi çizgili kırmızı, bu yüzden yarıştığımda parlak."
282,Frozen filminden şarkılar söylemeyi seviyorum.
283,ben üçüncü sınıftayım
284,Oyun alanında arkadaşlarımla oynuyorum.
285,Her yıl disney world&#39;e gitmeyi seviyorum.
286,mickey mouse en sevdiğim karakterdir.
287,en sevdiğim patenci rob dryden.
288,kolum kırık
289,ben bir kaykaycıyım.
290,arkadaşlarımın hepsi kaykaycı.
291,Ben her zaman şapka takıyorum.
292,İnternette gezinmek için çok zaman harcıyorum.
293,ben feministim
294,Sadece organik gıda ürünleri satın alıyorum.
295,çatımda güneş panelleri var.
296,En sevdiğim film türü belgeseldir.
297,her hafta bir kitap okurum.
298,üç ay önce baba olarak yeni bir işe başladım.
299,Pensilvanya&#39;da kocamla birlikte yaşıyorum.
300,moda umurumda değil
301,Kimya için okula gittim ama bir kitapçıda çalışıyorum.
302,turuncu renkten nefret ederim
303,hafta sonları dans ederim
304,ben bir avukat olmak istiyorum.
305,ailem nesillerdir at yetiştiriyor.
306,Ben küçük bir kasabadanım.
307,Ben bir at çiftliğinde büyüdüm.
308,fotoğrafla ilgileniyorum ve fotoğraf çekmeyi seviyorum
309,iyi derecede ingilizce ispanyolca ve fransızca biliyorum.
310,ben ilkokul öğretmeniyim
311,en sevdiğim renkler kırmızı ve gümüş.
312,Erkek arkadaşım ve ben gelecek hafta birlikte bir daireye taşınıyoruz.
313,Tarlaların bakımına yardım ederim.
314,Atlara binmeyi severim.
315,babam bir çiftçi.
316,Çalışırken rock müzik dinlemeyi severim.
317,fotoğrafla ilgileniyorum ve fotoğraf çekmeyi seviyorum.
318,Erkek arkadaşım ve ben gelecek hafta birlikte bir daireye taşınıyoruz.
319,ben ilkokul öğretmeniyim
320,iyi derecede ingilizce ispanyolca ve fransızca biliyorum.
321,Üniversite masraflarımı karşılamak için geceleri bir barda çalışıyorum.
322,tavuk sevmem
323,sarı saçlarım ve mavi gözlerim var.
324,Hemşire olmak için üniversiteye gidiyorum.
325,"içki içmem, uyuşturucu veya başka bir şey kullanmam."
326,Çalıştım Burger King&#39;de yarı zamanlı bir işim var.
327,sadece arkadaşlarımla eğlenmek istiyorum.
328,19 yaşındayım ve ailemin evine 19 taşınmak için sabırsızlanıyorum.
329,sürekli sırtımdalar.
330,akreplerden korkarım
331,en sevdiğim renk gri.
332,ABD posta servisinde çalışıyorum.
333,babam nascar için araba sürdü.
334,çikolataları severim.
335,keman ve gitar çalıyorum.
336,babam elektrikçi.
337,pinpon oynarım.
338,iki eski mustangım var.
339,en sevdiğim müzik country.
340,Eski model arabalar üzerinde çalışmayı seviyorum.
341,iki köpeğim var
342,5 kedim var.
343,ben inşaat işçisiyim
344,kedilerim benim için çok özeldir.
345,ev yapmaktan zevk alıyorum
346,Okula otobüsle gidiyorum.
347,Abim benden büyüktür.
348,13 yaşındayım.
349,matematik dersinden nefret ediyorum
350,çizburger en sevdiğim yemektir.
351,Büyürken fakirdim.
352,emekli beden eğitimi öğretmeniyim
353,aşevinde gönüllü olarak çalışıyorum.
354,savaş belgeselleri izlemeyi severim
355,üç çocuğum var.
356,karım ve çocuklarım en iyisidir.
357,en sevdiğim dondurma aroması çikolatadır.
358,ben bir tesisatçıyım.
359,Sadece organik gıda ürünleri satın alıyorum.
360,sosyal medyayı özellikle twitter&#39;ı seviyorum.
361,İnternette gezinmek için çok zaman harcıyorum.
362,ben feministim
363,Köpek çeviklik sınıflarında yarışırım.
364,turuncu renkten nefret ederim
365,Kimya için okula gittim ama bir kitapçıda çalışıyorum.
366,moda umurumda değil
