,Sentence
0,من فرزندان و نوه های شگفت انگیزی دارم.
1,من می توانم لباس هایم را خودم بدوزم
2,من سرطان داشتم اما الان رفته
3,من بازنشسته هستم و زندگی خوبی دارم.
4,من گوشی هوشمند ندارم
5,پدرم خانه به خانه فروشنده بود.
6,من سه سگ دارم
7,من در یک رابطه چندعشقی باز هستم.
8,من همچنین یک تجارت سگ راه رفتن دارم.
9,من یک المپیکی برنده مدال طلا هستم.
10,من عاشق غذاهای ایتالیایی و نان سیر هستم.
11,رنگ مورد علاقه من زرد است
12,ژیمناستیک ورزش مورد علاقه من است.
13,من چهار ساعت در روز ورزش می کنم
14,من در مورد تسلط بر دنیا خیال پردازی می کنم.
15,من یک زن 56 ساله هستم.
16,من دو فرزند بالغ دارم که هرگز به آنها سر نمی زنند.
17,من قبلا نقاش بودم اما الان خانه دار هستم.
18,من 40 سال سن دارم.
19,من به عنوان فروشنده ماشین کار می کنم
20,همسرم تمام پول من را خرج می کند.
21,از شغلم متنفرم.
22,من قصد دارم طلاق بگیرم
23,من در بزرگ شدن فقیر بودم
24,من یک معلم بازنشسته ورزشگاه هستم.
25,چیزبرگر غذای مورد علاقه من است.
26,من در یک سوپ آشپزی داوطلب می شوم.
27,من دوست دارم مستند جنگ ببینم
28,من برای سوپرمارکت محلی خود کار می کنم.
29,غذای مورد علاقه من پیتزا با زیتون سیاه است.
30,من گربه ای دارم به نام اسپوک
31,من هرگز از اوهایو خارج نشده ام
32,من در پناهگاه بی خانمان ها داوطلب می شوم.
33,پدرم به صورت حرفه ای ویولن می نواخت.
34,من یک معلم پیانو هستم.
35,چند ساز میزنم
36,من از کاوش در بخش های جدید شهر لذت می برم.
37,اسم من جورج است.
38,من یک کشاورز زنبور عسل هستم
39,غذای مورد علاقه من پاپایا است.
40,من خانواده صفری دارم که به آنها نزدیک هستم.
41,من با یک سوپر مدل ایتالیایی ازدواج کردم.
42,نام حیوان خانگی من چارلی است.
43,من برای هنرمندان موسیقی تولید می کنم.
44,غذای مورد علاقه من پیتزا است.
45,من یک هوندا سیویک 2015 رانندگی می کنم.
46,من موهای مجعد قهوه ای دارم
47,دو سال دیگر از دبیرستان فارغ التحصیل خواهم شد.
48,من اسب سواری را دوست دارم
49,اتاق خواب من بنفش و سبز لیمویی است.
50,نوع مورد علاقه من فیلم مستند است.
51,من بچه اولم را باردارم
52,من با شوهرم در پنسیلوانیا زندگی می کنم.
53,من هر هفته یک کتاب می خوانم
54,من دوست دارم همبرگر و سیب زمینی سرخ کرده بخورم.
55,من دوست دارم پیاده روی کنم
56,من نوشابه نمیخورم
57,من یک دوست پسر دارم.
58,من در یک خانه زندگی میکنم.
59,من به انگلیسی اسپانیایی و فرانسوی مسلط هستم.
60,من معلم دبستان هستم
61,من و دوست پسرم هفته آینده با هم به یک آپارتمان نقل مکان می کنیم.
62,من به عکاسی علاقه دارم و دوست دارم عکس بگیرم.
63,من می توانم تراکتور رانندگی کنم
64,از گوش دادن به موسیقی کلاسیک لذت می برم
65,رنگ مورد علاقه من قرمز است.
66,من یک مسیحی هستم.
67,خواهر من یک رقصنده قطبی است.
68,من به مراقبت از مزارع کمک می کنم.
69,پدرم کشاورز است
70,من دوست دارم در حین کار به موسیقی راک گوش کنم.
71,من سه اسب عرب دارم
72,من دوستان زیادی ندارم
73,من از مدرسه متنفرم
74,من دختری 12 ساله هستم
75,من عاشق بازی پوباکس هستم
76,من 40 سال دارم
77,از شغلم متنفرم.
78,همسرم تمام پول من را خرج می کند.
79,من به عنوان فروشنده ماشین کار می کنم
80,من قصد دارم طلاق بگیرم
81,پدرم خانه به خانه فروشنده بود.
82,من در یک رابطه چندعشقی باز هستم.
83,من سه سگ دارم
84,من دوست دارم المپیک را تماشا کنم
85,من سه ماه پیش کار جدیدی را به عنوان پدر شروع کردم.
86,من بچه اولم را باردارم
87,من هر هفته یک کتاب می خوانم
88,من با شوهرم در پنسیلوانیا زندگی می کنم.
89,نوع مورد علاقه من فیلم مستند است.
90,من مجردم و دو تا سگ دارم
91,من الکل نمیخورم
92,من دوست دارم شطرنج بازی کنم
93,من در سی سالگی هستم
94,من در کلاس های چابکی سگ مسابقه می دهم.
95,من برای شیمی به مدرسه رفتم اما در یک کتابفروشی کار می کنم.
96,من به مد اهمیتی نمی دهم
97,من از رنگ نارنجی متنفرم
98,من آخر هفته ها می رقصم
99,من عاشق قهوه هستم
100,پدرم کارگر ساختمانی بود.
101,من از رنگ صورتی متنفرم
102,من الکل نمیخورم
103,من از دوچرخه سواری در کوهستان به عنوان یک سرگرمی لذت می برم.
104,من یک بودایی هستم
105,من کارم را رها کردم تا تمام وقت معنویت را دنبال کنم.
106,من سه ماهه حرف نزدم
107,من مدیتیشن را دوست دارم
108,من در آلاسکا زندگی می کنم
109,من فقط محصولات غذایی ارگانیک میخرم
110,من عاشق رسانه های اجتماعی به خصوص توییتر هستم.
111,من زمان زیادی را صرف مرور اینترنت می کنم.
112,من یک فمینیست هستم
113,من در المپیک 1992 مدال طلا گرفتم.
114,من یک مجموعه کلاه از بیش از 1000 کلاه دارم.
115,فصل مورد علاقه من زمستان است
116,من در بستنی وانیلی ضعف دارم
117,من عاشق گربه هستم و دو گربه دارم.
118,من در مزرعه اسب بزرگ شدم.
119,خانواده من برای یک نسل اسب پرورش داده اند.
120,من می خواهم وکیل شوم.
121,من اهل یک شهر کوچک هستم
122,من به مراقبت از مزارع کمک می کنم.
123,من دوست دارم اسب سواری کنم
124,من دوست دارم در حین کار به موسیقی راک گوش کنم.
125,پدرم کشاورز است
126,من عاشق پختن پائلا هستم
127,من نسبت به ماهی و چیپس ضعف دارم.
128,من سالی دو بار به اروپا سفر می کنم.
129,من یک رشته هنر در کالج هستم.
130,من از نوادگان کریستف کلمب هستم.
131,من از رنگ صورتی متنفرم
132,پدرم کارگر ساختمانی بود.
133,من از دوچرخه سواری در کوهستان به عنوان یک سرگرمی لذت می برم.
134,من الکل نمیخورم
135,من یک عاشق قهوه هستم
136,من از خانه کار می کنم
137,من دوست دارم پولم را خرج ماشین کنم
138,من هرگز رابطه ثابتی نداشته ام
139,من در اوقات فراغت بیش از حد تلویزیون تماشا می کنم.
140,من بیشتر روزها فقط برای معاشرت به باشگاه می روم.
141,نوع موسیقی مورد علاقه من برای خواندن موسیقی محلی است.
142,من یک نوازنده هستم و امیدوارم روزی آن را بزرگ کنم.
143,پیانو و گیتار میزنم و میخونم.
144,من همچنین به عنوان یک نگهبان برای کمک به پرداخت قبوض کار می کنم.
145,من همچنین به عنوان یک نگهبان برای کمک به پرداخت قبوض کار می کنم.
146,پیانو و گیتار میزنم و میخونم.
147,نوع موسیقی مورد علاقه من برای خواندن موسیقی محلی است.
148,من یک نوازنده هستم و امیدوارم روزی آن را بزرگ کنم.
149,من سه سگ دارم
150,پدرم خانه به خانه فروشنده بود.
151,من دوست دارم المپیک را تماشا کنم
152,من در یک رابطه چندعشقی باز هستم.
