,Sentence
0,У меня замечательные дети и внуки.
1,я могу шить себе одежду.
2,"У меня был рак, но его уже нет."
3,Я на пенсии и живу прекрасной жизнью.
4,у меня нет смартфона.
5,мой отец был продавцом от двери к двери.
6,у меня три собаки.
7,у меня открытые полиаморные отношения.
8,У меня также есть бизнес по выгулу собак.
9,"Я олимпийский чемпион, золотой медалист."
10,я люблю итальянскую еду и чесночный хлеб.
11,мой любимый цвет - желтый.
12,гимнастика - мой любимый вид спорта.
13,Я тренируюсь по четыре часа в день.
14,Я мечтаю захватить мир.
15,Мне 56 лет.
16,"у меня двое взрослых детей, которые никогда не навещают."
17,"Раньше я была художником, а теперь работаю домработницей."
18,Мне 40 лет.
19,Я работаю продавцом автомобилей.
20,моя жена тратит все мои деньги.
21,я ненавижу свою работу.
22,Я планирую развестись.
23,Я был беден в детстве.
24,Я учитель физкультуры на пенсии.
25,чизбургеры - моя любимая еда.
26,Я работаю волонтером в столовой.
27,я люблю смотреть военные документальные фильмы.
28,я работаю в нашем местном супермаркете.
29,моя любимая еда - пицца с маслинами.
30,у меня есть кот по имени Призрак.
31,я никогда не был за пределами Огайо.
32,Я волонтер в приюте для бездомных.
33,мой отец профессионально играл на скрипке.
34,Я учитель фортепиано на стороне.
35,я играю на нескольких инструментах.
36,Мне нравится исследовать новые части города.
37,Меня зовут Джордж.
38,Я пчеловод.
39,моя любимая еда - папайя.
40,"У меня нулевая семья, к которой я близок."
41,Я женился на супер модели из Италии.
42,мое домашнее животное зовут Чарли.
43,Я делаю музыку для артистов.
44,моя любимая еда - пицца.
45,Я езжу на Honda Civic 2015 года выпуска.
46,у меня каштановые вьющиеся волосы.
47,Я закончу среднюю школу через два года.
48,я люблю кататься на лошадях.
49,моя спальня пурпурно-зеленая.
50,мой любимый фильм - документальный.
51,Я беременна своим первым ребенком.
52,Я живу с мужем в Пенсильвании.
53,я читаю книгу каждую неделю.
54,я люблю гамбургеры и картофель фри.
55,я люблю гулять.
56,я не пью газировку.
57,у меня есть парень.
58,я живу в доме.
59,"Я свободно говорю на английском, испанском и французском языках."
60,Я учитель начальной школы.
61,мой парень и я переезжаем в квартиру вместе на следующей неделе.
62,Я увлекаюсь фотографией и люблю фотографировать.
63,я могу водить трактор.
64,я люблю слушать классическую музыку.
65,мой любимый цвет - красный.
66,я христианин.
67,моя сестра танцует на пилоне.
68,Я помогаю ухаживать за полями.
69,мой отец фермер.
70,я люблю слушать рок-музыку во время работы.
71,у меня три арабских лошади.
72,у меня не много друзей.
73,я ненавижу школу.
74,Я 12-летняя девочка.
75,я люблю играть в pobox.
76,мне 40 лет.
77,я ненавижу свою работу.
78,моя жена тратит все мои деньги.
79,Я работаю продавцом автомобилей.
80,Я планирую развестись.
81,мой отец был продавцом от двери к двери.
82,У меня открытые полиаморные отношения.
83,у меня есть три собаки.
84,я люблю смотреть олимпийские игры.
85,Я начал новую работу в качестве папы три месяца назад.
86,Я беременна своим первым ребенком.
87,я читаю книгу каждую неделю.
88,Я живу с мужем в Пенсильвании.
89,мой любимый фильм - документальный.
90,Я холост и с двумя собаками.
91,я не пью алкоголь.
92,я люблю играть в шахматы.
93,мне за тридцать.
94,Я участвую в классах аджилити собак.
95,"Я ходила в школу на химию, но работала в книжном магазине."
96,я не забочусь о моде.
97,я ненавижу оранжевый цвет.
98,я танцую по выходным.
99,Я большой любитель кофе.
100,мой отец был строителем.
101,я ненавижу розовый цвет.
102,я не пью алкоголь.
103,Мне нравится кататься на горных велосипедах как хобби.
104,я буддист.
105,"Я уволился с работы, чтобы полностью посвятить себя духовной жизни."
106,я не разговаривал три месяца.
107,я люблю медитацию.
108,я живу на аляске.
109,Я покупаю только экологически чистые продукты.
110,"я люблю социальные медиа, особенно твиттер."
111,Я провожу много времени в Интернете.
112,я феминистка.
113,Я выиграл золотую медаль на Олимпийских играх 1992 года.
114,"У меня есть коллекция шляп, состоящая из более чем 1000 головных уборов."
115,мой любимый сезон зима.
116,У меня слабость к ванильному мороженому.
117,я люблю кошек и имею двух кошек.
118,Я вырос на конной ферме.
119,моя семья разводила лошадей на протяжении нескольких поколений.
120,я хочу стать юристом.
121,я из маленького городка.
122,Я помогаю ухаживать за полями.
123,я люблю кататься на лошадях.
124,я люблю слушать рок-музыку во время работы.
125,мой отец фермер.
126,я люблю готовить паэлью.
127,У меня слабость к рыбе с жареным картофелем.
128,я бываю в европе два раза в год.
129,Я учусь в колледже по специальности «искусство».
130,Я потомок Христофора Колумба.
131,я ненавижу розовый цвет.
132,мой отец был строителем.
133,Мне нравится кататься на горных велосипедах как хобби.
134,я не пью алкоголь.
135,Я большой любитель кофе.
136,я работаю из дома.
