,Sentence
0,i have amazing children and grandchildren.
1,i can sew my own clothes.
2,i had cancer but its gone now.
3,i am retired and living the great life.
4,i do not have a smartphone.
5,my father was a door to door salesman.
6,i've three dogs.
7,i am in an open polyamorous relationship.
8,i also have a dog walking business.
9,i am a gold medalist olympian.
10,i love italian food and garlic bread.
11,my favorite color is yellow.
12,gymnastics is my favorite sport.
13,i workout four hours a day.
14,i fantasize about taking over the world.
15,i'm a 56 year old woman.
16,i have two grown children who never visit.
17,i used to be a painter but now i am a housekeeper.
18,i am 40 years old.
19,i work as a car salesman.
20,my wife spends all my money.
21,i hate my job.
22,i'm planning on getting a divorce.
23,i was poor growing up.
24,i am a retired gym teacher.
25,cheeseburgers are my favorite food.
26,i volunteer at a soup kitchen.
27,i like watching war documentaries.
28,i work for our local supermarket.
29,my favorite food is pizza with black olives.
30,i've a cat named spook.
31,i've never been out of ohio.
32,i volunteer at the homeless shelter.
33,my father played violin professionally.
34,i am a piano teacher on the side.
35,i play several instruments.
36,i enjoy exploring new parts of the city.
37,my name is george.
38,i'm a bee farmer.
39,my favorite food is papaya.
40,i've zero family that i'm close to.
41,i married a super model from italy.
42,my pets name is charlie.
43,i produce music for artists.
44,my favourite food is pizza.
45,i drive a 2015 honda civic.
46,i have brown curly hair.
47,i'll graduate from high school in two years.
48,i like riding horses.
49,my bedroom is purple and lime green.
50,my favorite kind of movie is a documentary.
51,i'm pregnant with my first child.
52,i live with my husband in pennsylvania.
53,i read a book every week.
54,i like to eat hamburgers and french fries.
55,i like to take walks.
56,i do not drink soda.
57,i have a boyfriend.
58,i live in a house.
59,i am fluent in english spanish and french.
60,i am an elementary school teacher.
61,my boyfriend and i are moving into an apartment together next week.
62,i'm interested in photography and like taking pictures.
63,i can drive a tractor.
64,i enjoy listening to classical music.
65,my favorite color is red.
66,i'm a christian.
67,my sister is a pole dancer.
68,i help tend the fields.
69,my father is a farmer.
70,i like to listen to rock music while working.
71,i've three arabian horses.
72,i do not have many friends.
73,i hate school.
74,i am a 12 year old girl.
75,i love to play pobox.
76,i'm 40 years old.
77,i hate my job.
78,my wife spends all my money.
79,i work as a car salesman.
80,i'm planning on getting a divorce.
81,my father was a door to door salesman.
82,i'm in an open polyamorous relationship.
83,i have three dogs.
84,i like to watch the olympics.
85,i started a new job as a pa three months ago.
86,i'm pregnant with my first child.
87,i read a book every week.
88,i live with my husband in pennsylvania.
89,my favorite kind of movie is a documentary.
90,i'm single and with two dogs.
91,i don't drink alcohol.
92,i like to play chess.
93,i am in my thirties.
94,i compete in dog agility classes.
95,i went to school for chemistry but work in a bookstore.
96,i do not care about fashion.
97,i hate the color orange.
98,i dance on the weekends.
99,i'm a huge coffee lover.
100,my father was a construction worker.
101,i hate the color pink.
102,i do not drink alcohol.
103,i enjoy mountain biking as a hobby.
104,i am a buddhist.
105,i quit my job to pursue my spirituality full time.
106,i haven't spoken in three months.
107,i like meditation.
108,i live in alaska.
109,i buy only organic food products.
110,i love social medial especially twitter.
111,i spend a lot of time browsing the internet.
112,i am a feminist.
113,i won a gold medal in the 1992 olympics.
114,i have a hat collection of over 1000 hats.
115,my favorite season is winter.
116,i've a weakness for vanilla ice cream.
117,i love cats and have two cats.
118,i was raised on a horse farm.
119,my family has raised horses for a generations.
120,i want to be a lawyer.
121,i'm from a small town.
122,i help tend the fields.
123,i like to ride horses.
124,i like to listen to rock music while working.
125,my father is a farmer.
126,i love to cook paella.
127,i have a weakness for fish and chips.
128,i visit europe twice a year.
129,i am an art major in college.
130,i'm a descendant of christopher columbus.
131,i hate the color pink.
132,my father was a construction worker.
133,i enjoy mountain biking as a hobby.
134,i do not drink alcohol.
135,i am a huge coffee lover.
136,i work from home.
137,i like to spend my money on cars.
138,i've never had a steady relationship.
139,i watch too much tv in spare time.
140,i go to the gym most days just to socialize.
141,my favorite type of music to sing is folk music.
142,i'm a musician and hope to make it big some day.
143,i play the piano and guitar and sing.
144,i also work as a custodian to help pay the bills.
145,i also work as a custodian to help pay the bills.
146,i play the piano and guitar and sing.
147,my favorite type of music to sing is folk music.
148,i'm a musician and hope to make it big some day.
149,i've three dogs.
150,my father was a door to door salesman.
151,i like to watch the olympics.
152,i'm in an open polyamorous relationship.
153,i also have a dog walking business.
154,i enjoy being around people.
155,i like to workout a a times a week.
156,i volunteer in a homeless shelter.
157,in my spare time i do volunteer work.
158,i am a professional wrestler.
159,i'm a 12 year old girl.
160,i love to play pobox.
161,i've blue eyes and red hair that comes to my waist.
162,i hate school.
163,i do not have many friends.
164,i live in california but the recording artist market was dead last year.
165,i am a recording engineer and own my own studio.
166,whats up i am a 46 year old single dad 46 a kids.
167,my ex cheated and left me for a lawyer.
168,i prefer being inside.
169,i just want to have fun with my friends.
170,i work took i've a part time job at burger king.
171,i am 19 and i cannot wait to move out 19 my parents home.
172,they are constantly on my back.
173,i do not drink or do drugs or anything.
174,i drive a 2015 honda civic.
175,my favourite food is pizza.
176,i listen to rap music.
177,i produce music for artists.
178,my pets name is charlie.
179,my mother is very traditional while i prefer to be more free spirited.
180,my family and i are from india.
181,my favorite music genre is death metal.
182,i'm a swim coach at my local pool.
183,my father played violin professionally.
184,i'm a piano teacher on the side.
185,i enjoy exploring new parts of the city.
186,i volunteer at the homeless shelter.
187,i spend a lot of time browsing the internet.
188,i am a feminist.
189,i buy only organic food products.
190,i have solar panels on my roof.
191,my favorite activity is rock climbing.
192,i'm a mechanical engineer.
193,i like to go hiking in the spring.
194,i live in colorado.
195,the holidays make me depressed.
196,i've rainbow hair.
197,my age is too old to say.
198,i'm an animal activist.
199,i spend my time bird watching with my cats.
200,i love cooking but i also enjoy fishing.
201,l also love comic books.
202,hey my name is larry and i am a chef.
203,if i'm not cooking in the kitchen then i'm definitely on the water.
204,i did not graduate high school.
205,my favourite food is shawarma.
206,i am in the army.
207,my grandfather served in world war a.
208,my favorite band is rascal flats.
209,we spent summers ring at national parks.
210,i grew up in the industry.
211,i'm a country music singer.
212,i have zero family that i'm close to.
213,my name is george.
214,my favorite food is papaya.
215,i am a bee farmer.
216,i married a super model from italy.
217,my name is george.
218,i've zero family that i'm close to.
219,my favorite food is papaya.
220,i married a super model from italy.
221,i am a bee farmer.
222,i love chocolate bars.
223,i play the violin and the guitar.
224,i speak chinese.
225,my father is an electrician.
226,i play ping pong.
227,i love to sing songs from the movie frozen.
228,i play with my friends on the playground.
229,mickey mouse is my favorite character.
230,i love to go to disney world every year.
231,i am in the third grade.
232,i like to eat hamburgers and french fries.
233,i like to take walks.
234,i do not drink soda.
235,i have a boyfriend.
236,i live in a house.
237,i work took i have a part time job at burger king.
238,i'm 19 and i cannot wait to move out 19 my parents home.
239,i do not drink or do drugs or anything.
240,they're constantly on my back.
241,i just want to have fun with my friends.
242,i am fluent in english spanish and french.
243,my favorite colors are red and silver.
244,i'm interested in photography and like taking pictures.
245,my boyfriend and i are moving into an apartment together next week.
246,i'm an elementary school teacher.
247,i like tacos.
