,Sentence
0,saya memiliki anak dan cucu yang luar biasa.
1,saya bisa menjahit baju sendiri.
2,saya menderita kanker tetapi sekarang sudah hilang.
3,saya pensiun dan menjalani kehidupan yang hebat.
4,saya tidak punya ponsel pintar.
5,ayah saya adalah seorang penjual dari pintu ke pintu.
6,saya punya tiga anjing.
7,saya dalam hubungan polyamorous terbuka.
8,saya juga punya bisnis jalan-jalan anjing.
9,saya peraih medali emas olimpiade.
10,Saya suka makanan Italia dan roti bawang putih.
11,warna kesukaanku adalah kuning.
12,senam adalah olahraga favorit saya.
13,saya berolahraga empat jam sehari.
14,saya berfantasi tentang mengambil alih dunia.
15,saya seorang wanita berusia 56 tahun.
16,Saya memiliki dua anak yang sudah dewasa yang tidak pernah berkunjung.
17,Saya dulu seorang pelukis tapi sekarang saya pembantu rumah tangga.
18,saya berumur 40 tahun.
19,saya bekerja sebagai penjual mobil.
20,istri saya menghabiskan semua uang saya.
21,Aku benci pekerjaan saya.
22,saya berencana untuk bercerai.
23,saya miskin tumbuh dewasa.
24,saya seorang pensiunan guru olahraga.
25,burger keju adalah makanan favorit saya.
26,saya menjadi sukarelawan di dapur umum.
27,saya suka menonton film dokumenter perang.
28,saya bekerja untuk supermarket lokal kami.
29,makanan favorit saya adalah pizza dengan zaitun hitam.
30,saya punya kucing bernama spook.
31,saya tidak pernah keluar dari ohio.
32,saya menjadi sukarelawan di tempat penampungan tunawisma.
33,ayah saya bermain biola secara profesional.
34,saya seorang guru piano di samping.
35,saya memainkan beberapa instrumen.
36,saya menikmati menjelajahi bagian baru kota.
37,nama saya George.
38,saya seorang petani lebah.
39,makanan favorit saya adalah pepaya.
40,Saya tidak memiliki keluarga yang dekat dengan saya.
41,saya menikah dengan seorang super model dari italia.
42,nama hewan peliharaan saya adalah charlie.
43,saya memproduksi musik untuk artis.
44,makanan kesukaanku adalah pizza.
45,saya mengendarai honda civic 2015.
46,saya memiliki rambut keriting coklat.
47,saya akan lulus dari sekolah menengah dalam dua tahun.
48,saya suka menunggang kuda.
49,kamar tidurku berwarna ungu dan hijau limau.
50,jenis film favorit saya adalah dokumenter.
51,saya sedang hamil anak pertama saya.
52,saya tinggal bersama suami saya di pennsylvania.
53,saya membaca buku setiap minggu.
54,saya suka makan hamburger dan kentang goreng.
55,saya suka jalan-jalan.
56,saya tidak minum soda.
57,saya punya pacar.
58,aku tinggal disebuah rumah.
59,saya fasih berbahasa inggris spanyol dan perancis.
60,saya seorang guru sekolah dasar.
61,pacar saya dan saya akan pindah ke apartemen bersama minggu depan.
62,saya tertarik dengan fotografi dan suka memotret.
63,saya bisa mengemudikan traktor.
64,saya senang mendengarkan musik klasik.
65,warna favorit ku adalah merah.
66,saya seorang kristen.
67,saudara perempuan saya adalah penari tiang.
68,saya membantu merawat ladang.
69,ayah saya adalah seorang petani.
70,saya suka mendengarkan musik rock saat bekerja.
