,Sentence
0,میرے حیرت انگیز بچے اور پوتے ہیں۔
1,میں اپنے کپڑے خود سلائی کر سکتا ہوں۔
2,مجھے کینسر تھا لیکن اب ختم ہو گیا ہے۔
3,میں ریٹائرڈ ہوں اور عظیم زندگی گزار رہا ہوں۔
4,میرے پاس اسمارٹ فون نہیں ہے۔
5,میرے والد گھر گھر سیلز مین تھے۔
6,میرے پاس تین کتے ہیں۔
7,میں ایک کھلے پولیمورس رشتے میں ہوں۔
8,میرے پاس کتے کے چلنے کا کاروبار بھی ہے۔
9,میں گولڈ میڈلسٹ اولمپین ہوں۔
10,مجھے اطالوی کھانا اور لہسن کی روٹی پسند ہے۔
11,میرا پسندیدہ رنگ پیلا ہے۔
12,جمناسٹکس میرا پسندیدہ کھیل ہے۔
13,میں دن میں چار گھنٹے ورزش کرتا ہوں۔
14,میں دنیا کو سنبھالنے کے بارے میں تصور کرتا ہوں۔
15,میں 56 سال کی عورت ہوں۔
16,میرے دو بڑے بچے ہیں جو کبھی نہیں جاتے۔
17,میں ایک پینٹر تھا لیکن اب میں ایک گھریلو ملازم ہوں.
18,میری عمر 40 سال ہے۔
19,میں کار سیلز مین کے طور پر کام کرتا ہوں۔
20,میری بیوی میرے سارے پیسے خرچ کرتی ہے۔
21,مجھے اپنی نوکری سے نفرت ہے.
22,میں طلاق لینے کا ارادہ کر رہا ہوں۔
23,میں بڑا غریب تھا.
24,میں ایک ریٹائرڈ جم ٹیچر ہوں۔
25,چیزبرگر میرا پسندیدہ کھانا ہے۔
26,میں ایک سوپ کچن میں رضاکارانہ طور پر کام کرتا ہوں۔
27,مجھے جنگ کی دستاویزی فلمیں دیکھنا پسند ہے۔
28,میں اپنے مقامی سپر مارکیٹ کے لیے کام کرتا ہوں۔
29,میرا پسندیدہ کھانا سیاہ زیتون کے ساتھ پیزا ہے۔
30,میرے پاس ایک بلی ہے جس کا نام سپوک ہے۔
31,میں کبھی اوہیو سے باہر نہیں رہا۔
32,میں بے گھر پناہ گاہ میں رضاکارانہ طور پر کام کرتا ہوں۔
33,میرے والد پیشہ ورانہ طور پر وائلن بجاتے تھے۔
