,Sentence
0,لدي أطفال وأحفاد رائعون.
1,يمكنني خياطة ملابسي بنفسي.
2,لقد أصبت بالسرطان لكنه ذهب الآن.
3,أنا متقاعد وأعيش حياة رائعة.
4,ليس لدي هاتف ذكي.
5,كان والدي بائعًا من الباب إلى الباب.
6,لدي ثلاثة كلاب.
7,أنا في علاقة عابرة مفتوحة.
8,أنا أيضا أمتلك تجارة المشي مع الكلاب.
9,أنا أولمبي حاصل على الميدالية الذهبية.
10,أحب الطعام الإيطالي وخبز الثوم.
11,لوني المفضل هو الاصفر.
12,الجمباز هي رياضتي المفضلة.
13,أنا أتدرب أربع ساعات في اليوم.
14,أتخيل السيطرة على العالم.
15,أنا امرأة تبلغ من العمر 56 عامًا.
16,لدي طفلان لم يسبق لهما الزيارة.
17,اعتدت أن أكون رسامًا لكنني الآن مدبرة منزل.
18,عمري 40 سنة.
19,اعمل بائع سيارات.
20,زوجتي تنفق كل أموالي.
21,انا اكره عملي.
22,أنا أخطط للحصول على الطلاق.
23,كنت فقيرة نشأت.
24,أنا مدرس متقاعد في صالة الألعاب الرياضية.
25,برجر الجبن هو طعامي المفضل.
26,أنا أتطوع في مطبخ الحساء.
27,أحب مشاهدة الأفلام الوثائقية عن الحرب.
28,أنا أعمل في السوبر ماركت المحلي لدينا.
29,طعامي المفضل هو بيتزا بالزيتون الاسود.
30,لدي قطة اسمها الشبح.
31,لم أخرج من أوهايو أبدًا.
32,أنا أتطوع في ملجأ المشردين.
33,والدي يعزف على الكمان باحتراف.
34,أنا مدرس البيانو في الجانب.
35,ألعب عدة آلات.
36,أنا أستمتع باستكشاف أجزاء جديدة من المدينة.
37,اسمي جورج.
38,أنا مزارع نحل.
39,طعامي المفضل هو البابايا.
40,ليس لدي عائلة أنا قريب منها.
41,تزوجت عارضة أزياء من إيطاليا.
42,اسم حيواناتي الأليفة هو تشارلي.
43,أنا أنتج الموسيقى للفنانين.
44,طعامي المفضل هو البيتزا.
45,أقود سيارة هوندا سيفيك 2015.
46,لدي شعر بني مجعد.
47,سأتخرج من المدرسة الثانوية في غضون عامين.
48,احب ركوب الخيل.
49,غرفة نومي باللون البنفسجي والأخضر الليموني.
50,نوع الفيلم المفضل لدي هو فيلم وثائقي.
51,أنا حامل في طفلي الأول.
52,أعيش مع زوجي في بنسلفانيا.
53,أقرأ كتابًا كل أسبوع.
54,أحب أكل الهامبرغر والبطاطا المقلية.
55,أحب أن آخذ مناحي.
56,أنا لا أشرب الصودا.
57,لدي صديق.
58,أنا اعيش في منزل.
59,أنا بطلاقة في اللغة الإنجليزية والإسبانية والفرنسية.
60,أنا مدرس في مدرسة ابتدائية.
61,أنا وصديقي ننتقل إلى شقة معًا الأسبوع المقبل.
62,أنا مهتم بالتصوير وأحب التقاط الصور.
63,يمكنني قيادة جرار.
64,أنا أستمتع بالاستماع إلى الموسيقى الكلاسيكية.
65,لوني المفضل هو الأحمر.
66,أنا مسيحي.
67,أختي راقصة العمود.
68,أساعد في رعاية الحقول.
69,أبي مزارع.
70,أحب الاستماع إلى موسيقى الروك أثناء العمل.
71,لدي ثلاث خيول عربية.
72,ليس لدي الكثير من الأصدقاء.
73,أكره المدرسة.
74,انا فتاة تبلغ من العمر 12 عاما.
75,أنا أحب أن ألعب الجدري.
76,عمري 40 سنة.
77,انا اكره عملي.
78,زوجتي تنفق كل أموالي.
79,اعمل بائع سيارات.
80,أنا أخطط للحصول على الطلاق.
81,كان والدي بائعًا من الباب إلى الباب.
82,أنا في علاقة تعدد الزوجات مفتوحة.
83,لدي ثلاثة كلاب.
84,أحب مشاهدة الألعاب الأولمبية.
85,لقد بدأت وظيفة جديدة كطرف عام منذ ثلاثة أشهر.
86,أنا حامل في طفلي الأول.
87,أقرأ كتابًا كل أسبوع.
88,أعيش مع زوجي في بنسلفانيا.
89,نوع الفيلم المفضل لدي هو فيلم وثائقي.
90,أنا أعزب ومع كلبين.
91,أنا لا أشرب الكحول.
92,أحب أن ألعب الشطرنج.
93,أنا في الثلاثينيات من عمري.
94,أنا أتنافس في فصول رشاقة الكلاب.
95,ذهبت إلى مدرسة الكيمياء لكنني أعمل في محل لبيع الكتب.
96,لا يهمني الموضة.
97,أنا أكره اللون البرتقالي.
98,أرقص في عطلة نهاية الأسبوع.
99,أنا من عشاق القهوة.
100,كان والدي عامل بناء.
101,أنا أكره اللون الوردي.
102,انا لا اشرب الكحول.
103,أنا أستمتع بركوب الدراجات الجبلية كهواية.
104,أنا بوذي.
105,تركت عملي لمتابعة روحانيتي بدوام كامل.
